id;river_km_id;datetime;water_perc;ice_perc;other_perc;cloud_perc;nd_perc;qc;source
287;117263;2020-03-05T18:35:05;16;84;0;0;0;0;Sentinel-1 Sentinel-2
288;117263;2020-03-07T12:53:53;0;0;0;100;0;0;Sentinel-2
289;117263;2020-03-08T18:59:29;97;2;0;0;1;2;Sentinel-1 Sentinel-2
290;117263;2020-03-09T18:50:42;94;5;0;0;1;2;Sentinel-1 Sentinel-2
291;117263;2020-03-10T18:43:11;98;2;0;0;0;2;Sentinel-1
292;117263;2020-03-11T18:34:23;97;2;0;0;1;2;Sentinel-1 Sentinel-2
293;117263;2020-03-14T18:58:48;98;2;0;0;0;2;Sentinel-1 Sentinel-2
294;117263;2020-03-15T07:34:07;98;2;0;0;0;2;Sentinel-1
295;117263;2020-03-17T18:35:05;84;15;0;0;1;2;Sentinel-1 Sentinel-2
296;117263;2020-03-19T12:44:04;0;0;0;99;1;0;Sentinel-2
297;117263;2020-03-20T07:42:17;93;7;0;0;0;2;Sentinel-1
298;117263;2020-03-21T18:50:42;98;1;0;0;1;2;Sentinel-1 Sentinel-2
299;117263;2020-03-22T18:43:11;97;2;0;0;1;2;Sentinel-1
300;117263;2020-03-23T18:34:23;97;2;0;0;1;2;Sentinel-1 Sentinel-2
301;117263;2020-03-24T13:33:39;1;99;0;0;0;0;Sentinel-1 Sentinel-2
302;117263;2020-03-26T18:58:48;98;2;0;0;0;2;Sentinel-1 Sentinel-2
303;117263;2020-03-27T18:51:23;98;2;0;0;0;2;Sentinel-1 Sentinel-2
304;117263;2020-03-29T18:35:05;97;3;0;0;0;2;Sentinel-1 Sentinel-2
305;117263;2020-04-01T18:59:29;96;3;0;0;1;2;Sentinel-1 Sentinel-2
306;117263;2020-04-02T18:50:42;98;2;0;0;0;2;Sentinel-1 Sentinel-2
307;117263;2020-04-03T18:43:11;98;2;0;0;0;2;Sentinel-1 Sentinel-2
308;117263;2020-04-04T18:34:23;97;2;0;0;1;2;Sentinel-1
309;117263;2020-04-07T18:58:49;98;2;0;0;0;2;Sentinel-1 Sentinel-2
310;117263;2020-04-08T18:51:23;58;42;0;0;0;1;Sentinel-1 Sentinel-2
311;117263;2020-04-09T13:04:09;0;93;0;7;0;0;Sentinel-2
312;117263;2020-04-10T18:35:05;97;3;0;0;0;2;Sentinel-1
313;117263;2020-04-13T18:59:31;88;12;0;0;0;2;Sentinel-1 Sentinel-2
314;117263;2020-04-14T18:50:42;98;1;0;0;1;2;Sentinel-1 Sentinel-2
315;117263;2020-04-15T18:43:11;98;2;0;0;0;2;Sentinel-1 Sentinel-2
316;117263;2020-04-16T18:34:23;97;2;0;0;1;2;Sentinel-1 Sentinel-2
317;117263;2020-04-18T12:43:35;0;0;0;99;1;0;Sentinel-2
318;117263;2020-04-19T07:41:24;99;1;0;0;0;2;Sentinel-1
319;117263;2020-04-20T18:51:23;99;0;0;0;1;2;Sentinel-1 Sentinel-2
320;117263;2020-04-21T12:53:59;1;99;0;0;0;0;Sentinel-2
321;117263;2020-04-22T18:35:06;99;1;0;0;0;2;Sentinel-1 Sentinel-2
